ANO;MES;PRODUTO;DESCCOMPLETA;VALOR_TOTAL_LIQUIDO;IMPOSTOS;VERBA_BONIFICACAO;CUSTO_LIQUIDO;CUSTO_FISCAL_TOTAL
2022;01;6600;"PROPOLIS NATUCENTRO AQUOSA 30ML";647.5;100.97;0;306.61;339.23
2022;01;23627;"BISC INT BAUDUCCO CEREALE 141G MACA UVA PASSAS";1040.4;96.24;0;667.94;726.88
2022;01;10269;"QUEIJO M PADRAO REGINA KG";4723.15;0;0;3065.81;3065.81
2022;01;11700;"EMPANADO SADIA NUGGETS 300G QJO";243.56;22.53;0;182.97;182.97
2022;01;6840;"CAPPUCC 3 CORACOES 200G DESCAF FIBR";321.54;0;0;233.55;233.55
2022;01;5832;"GOIABADA CASCAO DIET S LOURENC 250G";219;20.26;0;126.29;139.22
2022;01;21664;"REFRESCO MID 20G BAUN LIM";40.59;10.44;0;19.78;19.88
2022;01;10815;"LEITE LV Z LAC SEMID ITAMBE PRO1L";1045.62;0;0;784.23;784.23
2022;01;16066;"MOLHO BCO ITAMBE 200G TP";291.72;26.98;0;172.17;172.17
2022;01;10636;"LEITE LV DESN ITALAC 1L";211.16;0;0;191.98;191.98
2022;01;26059;"CHOC B DANKE 90G NATAL M AMARGO 63";104.3;9.65;0;62.54;63.32
2022;01;6561;"CAP CAFE DOLCE GUSTO 128G INTENSO";868.5;60.9;0;570.86;570.86
2022;01;9492;"PRATO BOLO CRIST WOLFF 32X5CM ANGEL";32.71;3.03;0;24.74;25.49
2022;01;20049;"LAMPADA LED KIAN A60 DIM 10W";449.1;41.54;0;198.9;202.43
2022;01;7765;"CHA ZR LEAO ICE TEA 450ML LIMAO";168.82;0;0;111.84;111.84
2022;01;5878;"PACOCA DIET AIRON ROLHA 160G";407.52;37.7;0;242.12;266.79
2022;01;17250;"QUINOA PRETA BIG 150G";134.3;34.33;0;42.98;42.98
2022;01;20388;"SUQUEIRA CRIST BRANDON ECO PE 3L";699;64.66;0;443.41;470.66
2022;01;11837;"FILE MIGNON SUINO PANTANEIRA KG";461.29;0;0;278.23;278.23
