ANO;MES;PRODUTO;DESCCOMPLETA;VALOR_TOTAL_LIQUIDO;IMPOSTOS;VERBA_BONIFICACAO;CUSTO_LIQUIDO;CUSTO_FISCAL_TOTAL
2022;12;2486;"BALA BUTTER TOFFEES 100G COCO";562.74;144.27;0;264.88;264.88
2022;12;848;"ACUCAR DEMERARA UNIAO 1KG NATURALE";5238.05;0;0;3404.27;3404.27
2022;12;6417;"LIMP CONC MAGICO GEL 2L M ATLANTICA";7327.3;677.78;0;4613.03;4613.28
2022;12;10849;"LEITE PO DESN MOLICO 280G";2092.09;0;0;1627.01;1627.01
2022;12;27214;"FRALDEIRA LINUX REDONDA MD TABOA";1800;460.53;0;837.92;905
2022;12;2871;"CASTANHA CAJU TORR S SAL SL W1 KG";21485.92;1987.45;0;11567.95;11570.75
2022;12;1602;"PIZZA BIG PRESUNTO PAD KG";3166.7;266.04;0;1463.48;1477.2
2022;12;28552;"IOG GREGO NESTLE 360G TRAD";1099.14;0;0;776.32;776.32
2022;12;10368;"BEB LAC GOODY 170G MGO";2063.29;0;0;1306.21;1306.22
2022;12;1133;"SAND BIG PAO INT PEITO PERU KG";3544.84;598.51;0;1089.61;1089.88
2022;12;26607;"SABAO BARRA YPE 180G AZ";2362.34;605.19;0;1111.73;1111.73
2022;12;1238;"LIMP M USO VEJA 500ML 10DESC FLORAL";2403.83;222.35;0;1570.71;1622.95
2022;12;7737;"TEMPERO KITANO M SABOR 60G NORDEST";284.43;26.31;0;156.42;156.42
2022;12;10011;"HAMBURGUER FGO PIF PAF 672G";3145.43;290.95;0;1864.51;1863.73
2022;12;3518;"FRUTAS CRISTALIZADAS GRANEL KG";3469.23;320.9;0;1541.19;1541.73
2022;12;10350;"REFRIG ZR COCA COLA 220ML LT";6973.26;0;0;4942.75;4942.75
2022;12;6736;"MAIONESE HEMMER 290G CEB SALSA";1378.85;127.54;0;829.08;829.08
2022;12;561;"BOLO BIG FESTA 450G";7134.1;1206.45;0;3059.66;3059.69
2022;12;28043;"BISC WAFER AYMORE 105G CHOCO";3261.42;301.68;0;2145.71;2145.74
2022;12;6229;"RABANADA BIG RECH DOCE LTE KG";4465.18;753.49;0;1766.92;1770.19
2022;12;2047;"SALG GULAO 120G REQUEIJAO";2443.43;226.02;0;1463.96;1463.95
2022;12;9189;"PANO CHAO ALVEJ N MUNDO 50X70CM";5740.83;1468.1;0;2354.03;2354.03
2022;12;18046;"PALHA ACO BOMBRIL BRILLO 25G N 0";256.72;23.75;0;149.23;150.59
2022;12;6879;"BISC BIG POLV PALITO 60G";116.61;19.63;0;24.1;24.13
2022;12;1535;"ACUCAR MASCAVO CACHOEIRA 500G";4114.09;0;0;2916.29;2916.21
2022;12;904;"DONUT BIG CHOCO KG";2690.42;453.99;0;1145.82;1145.82
